			GMRT Grid Version 3.7
Longitude	Latitude	Distance (km)	Elevation (m)
-164.9424	-29.903172	4542.389	-5063.872
-165.0226	-29.830116	4553.605	-4677.1445
-165.10268	-29.757013	4564.821	-4367.7373
-165.18263	-29.683863	4576.0366	-5026.71
-165.26248	-29.610664	4587.2524	-4999.0303
-165.34222	-29.537416	4598.4683	-5019.9404
-165.42184	-29.464123	4609.684	-5361.457
-165.50134	-29.39078	4620.9	-5432.8184
-165.58073	-29.317392	4632.1157	-5316.749
-165.66	-29.243956	4643.3315	-5390.5615
-165.73917	-29.170473	4654.5474	-5457.812
-165.8182	-29.096945	4665.763	-5482.1694
-165.89714	-29.023369	4676.979	-5534.301
-165.97597	-28.949747	4688.195	-5444.675
-166.05467	-28.876081	4699.4106	-5459.4067
-166.13327	-28.802368	4710.6265	-5524.1274
-166.21176	-28.72861	4721.8423	-5516.6567
-166.29013	-28.654806	4733.058	-5544.9175
-166.36841	-28.580957	4744.274	-5635.497
-166.44656	-28.507065	4755.4897	-5503.1455
-166.5246	-28.433126	4766.7056	-5318.892
-166.60254	-28.359144	4777.9214	-5474.398
-166.68037	-28.285116	4789.137	-5499.809
-166.75809	-28.211046	4800.353	-5519.5303
-166.83571	-28.136932	4811.569	-5662.9346
-166.91321	-28.062773	4822.7847	-5572.7617
-166.9906	-27.988571	4834.0005	-5525.271
-167.0679	-27.914326	4845.2163	-5568.114
-167.14508	-27.840038	4856.432	-5620.8647
-167.22217	-27.765707	4867.648	-5746.82
-167.29913	-27.691334	4878.864	-5679.036
-167.376	-27.616917	4890.0796	-5570.369
-167.45277	-27.54246	4901.2954	-5677.6772
-167.52943	-27.467958	4912.511	-5756.1777
-167.606	-27.393415	4923.727	-5807.8667
-167.68245	-27.318832	4934.943	-5747.989
-167.7588	-27.244205	4946.1587	-5680.3457
-167.83505	-27.169538	4957.3745	-5769.1396
-167.9112	-27.09483	4968.5903	-5622.928
-167.98724	-27.02008	4979.806	-5754.061
-168.06319	-26.945292	4991.022	-5659.812
-168.13904	-26.87046	5002.238	-6008.9556
-168.21478	-26.79559	5013.4536	-6004.3193
-168.29042	-26.720678	5024.6694	-5701.827
-168.36597	-26.645725	5035.8853	-5653.31
-168.44142	-26.570734	5047.101	-5634.742
-168.51677	-26.495705	5058.317	-5588.523
-168.59201	-26.420633	5069.5327	-6265.373
-168.66716	-26.345524	5080.7485	-5975.1016
-168.74222	-26.270374	5091.9644	-5821.236
-168.81717	-26.195187	5103.18	-5573.8955
-168.89203	-26.11996	5114.396	-5314.5293
-168.9668	-26.044695	5125.612	-3802.1948
-169.04146	-25.96939	5136.8276	-1838.6802
-169.11603	-25.894049	5148.0435	-3927.0989
-169.1905	-25.818668	5159.2593	-5316.6455
-169.2649	-25.74325	5170.475	-5461.704
-169.33917	-25.667795	5181.691	-5525.7563
-169.41336	-25.592302	5192.9067	-5784.858
-169.48747	-25.516771	5204.1226	-5452.8745
-169.56148	-25.441202	5215.3384	-4559.9727
-169.63539	-25.365599	5226.554	-5406.977
-169.70921	-25.289955	5237.77	-5818.4746
-169.78293	-25.214277	5248.986	-5604.73
-169.85657	-25.138563	5260.2017	-5684.6655
-169.93011	-25.06281	5271.4175	-5676.989
-170.00357	-24.987024	5282.6333	-5457.8706
-170.07693	-24.9112	5293.849	-5568.1826
-170.1502	-24.83534	5305.065	-5782.2275
-170.22339	-24.759445	5316.281	-5755.3364
-170.2965	-24.683516	5327.4966	-5701.441
-170.36949	-24.60755	5338.7124	-5744.631
-170.44241	-24.531548	5349.928	-5745.5264
-170.51524	-24.455511	5361.144	-5737.7485
-170.58798	-24.37944	5372.36	-5724.443
-170.66064	-24.303335	5383.5757	-5712.6616
-170.7332	-24.227196	5394.7915	-5787.6064
-170.80568	-24.15102	5406.0073	-5931.2017
-170.87808	-24.074812	5417.223	-6366.2534
-170.9504	-23.99857	5428.439	-5755.294
-171.02261	-23.922293	5439.655	-5644.2944
-171.09474	-23.845982	5450.8706	-5750.6875
-171.1668	-23.769638	5462.0864	-5775.2646
-171.23877	-23.69326	5473.3022	-5718.3306
-171.31065	-23.61685	5484.518	-5683.963
-171.38245	-23.540407	5495.734	-5668.933
-171.45416	-23.46393	5506.9497	-5688.5107
-171.52579	-23.38742	5518.1655	-5711.5674
-171.59735	-23.31088	5529.3813	-5717.931
-171.66881	-23.234306	5540.597	-5746.1895
-171.7402	-23.1577	5551.813	-5700.652
-171.81151	-23.08106	5563.029	-5724.2456
-171.88272	-23.00439	5574.2446	-5792.911
-171.95387	-22.927689	5585.4604	-5808.83
-172.02493	-22.850954	5596.6763	-5862.232
-172.0959	-22.774189	5607.892	-5734.593
-172.16681	-22.697392	5619.108	-5650.281
-172.23763	-22.620564	5630.3237	-5688.8643
-172.30838	-22.543705	5641.5396	-5643.918
-172.37904	-22.466814	5652.7554	-5721.4077
-172.44963	-22.389893	5663.971	-5748.741
-172.52013	-22.312943	5675.187	-5691.383
-172.59056	-22.23596	5686.403	-5713.889
-172.66092	-22.158949	5697.6187	-5688.179
-172.73119	-22.081905	5708.8345	-5784.2534
-172.80139	-22.004833	5720.0503	-5760.0796
-172.8715	-21.927732	5731.266	-5828.1465
-172.94156	-21.8506	5742.482	-5922.805
-173.01152	-21.77344	5753.6978	-6048.5576
-173.08142	-21.696247	5764.9136	-6096.151
-173.15125	-21.619028	5776.1294	-6169.21
-173.221	-21.541779	5787.345	-6175.926
-173.29066	-21.4645	5798.561	-6513.7217
