			GMRT Grid Version 4.2.1
Longitude	Latitude	Distance (km)	Elevation (m)
27.04	-57.10	1541.2114	-5447.672
26.98	-57.16	1548.4813	-5441.286
26.92	-57.22	1555.7512	-5440.484
26.85	-57.27	1563.0211	-5468.851
26.79	-57.33	1570.291	-5458.9253
26.73	-57.38	1577.5609	-5452.884
26.66	-57.44	1584.8308	-5441.8154
26.60	-57.49	1592.1007	-5445.6123
26.54	-57.55	1599.3706	-5434.057
26.47	-57.60	1606.6405	-5446.663
26.41	-57.66	1613.9104	-5387.575
26.34	-57.72	1621.1803	-5423.8257
26.28	-57.77	1628.4502	-5435.7754
26.21	-57.83	1635.7201	-5433.2495
26.15	-57.88	1642.99	-5424.5063
26.08	-57.94	1650.2599	-5425.6787
26.02	-57.99	1657.5298	-5434.298
25.95	-58.05	1664.7997	-5439.344
25.88	-58.10	1672.0696	-5440.255
25.82	-58.16	1679.3395	-5443.9688
25.75	-58.21	1686.6094	-5440.27
25.68	-58.27	1693.8793	-5431.755
25.62	-58.32	1701.1492	-5420.418
25.55	-58.38	1708.4191	-5427.048
25.48	-58.43	1715.689	-5423.346
25.42	-58.49	1722.9589	-5425.5044
25.35	-58.54	1730.2288	-5427.817
25.28	-58.60	1737.4987	-5419.9307
25.21	-58.65	1744.7686	-5402.0605
25.14	-58.71	1752.0385	-5227.819
25.07	-58.76	1759.3083	-4665.6665
25.00	-58.82	1766.5782	-4428.8135
24.94	-58.87	1773.8481	-4336.913
24.87	-58.93	1781.118	-4243.8413
24.80	-58.98	1788.388	-4293.69
24.73	-59.04	1795.6578	-4293.448
24.66	-59.09	1802.9277	-4348.8433
24.59	-59.15	1810.1976	-4744.557
24.52	-59.20	1817.4675	-5319.137
24.45	-59.25	1824.7374	-5396.176
24.38	-59.31	1832.0073	-5432.839
24.30	-59.36	1839.2772	-5654.2314
24.23	-59.42	1846.5471	-5756.515
24.16	-59.47	1853.817	-5585.765
24.09	-59.53	1861.0869	-5250.908
24.02	-59.58	1868.3568	-5281.857
23.95	-59.64	1875.6267	-5377.1064
23.87	-59.69	1882.8966	-5357.104
23.80	-59.74	1890.1665	-5382.3936
23.73	-59.80	1897.4364	-5401.849
23.65	-59.85	1904.7063	-5314.3433
23.58	-59.91	1911.9762	-5330.4453
23.51	-59.96	1919.2461	-5363.521
23.43	-60.01	1926.516	-5300.561
23.36	-60.07	1933.7859	-5242.1597
23.28	-60.12	1941.0558	-5236.682
23.21	-60.17	1948.3257	-5213.1016
23.13	-60.23	1955.5956	-5240.373
23.06	-60.28	1962.8655	-5247.447
22.98	-60.34	1970.1354	-5281.1133
22.91	-60.39	1977.4053	-5271.5635
22.83	-60.44	1984.6752	-5258.7095
22.76	-60.50	1991.9451	-5263.9946
22.68	-60.55	1999.215	-5262.979
22.60	-60.60	2006.4849	-5242.474
22.53	-60.66	2013.7548	-5229.414
22.45	-60.71	2021.0247	-5216.9097
22.37	-60.76	2028.2946	-5217.834
22.29	-60.82	2035.5645	-5196.069
