			GMRT Grid Version 4.0
Longitude	Latitude	Distance (km)	Elevation (m)
-156.119	23.830	99.349335	-4256.5825
-156.133	23.806	102.39444	-4267.3477
-156.147	23.782	105.439545	-4288.2534
-156.161	23.757	108.48465	-4292.63
-156.175	23.733	111.529755	-4281.3486
-156.189	23.709	114.57486	-4272.1787
-156.203	23.685	117.619965	-4251.0093
-156.217	23.661	120.66507	-4254.247
-156.232	23.637	123.710175	-4258.893
-156.246	23.613	126.75528	-4261.826
-156.260	23.588	129.80038	-4226.5635
-156.274	23.564	132.84549	-4259.909
-156.288	23.540	135.8906	-4251.5938
-156.302	23.516	138.9357	-4262.8086
-156.316	23.492	141.9808	-4266.037
-156.330	23.468	145.02591	-4260.2354
-156.344	23.443	148.07101	-4254.7437
-156.358	23.419	151.11612	-4230.452
-156.372	23.395	154.16122	-4116.6265
-156.386	23.371	157.20633	-4224.7896
-156.400	23.347	160.25143	-4241.372
-156.414	23.323	163.29654	-4232.182
-156.428	23.298	166.34164	-4229.174
-156.442	23.274	169.38675	-4227.95
-156.456	23.250	172.43185	-4228.2314
-156.470	23.226	175.47696	-4239.8364
-156.484	23.202	178.52206	-4245.535
-156.498	23.177	181.56717	-4250.0483
-156.512	23.153	184.61227	-4260.2563
-156.526	23.129	187.65738	-4266.2954
-156.540	23.105	190.70248	-4274.6616
-156.554	23.081	193.74759	-4274.5684
-156.568	23.056	196.7927	-4288.0522
-156.582	23.032	199.8378	-4289.3535
-156.596	23.008	202.8829	-4307.447
-156.610	22.984	205.92801	-4313.564
-156.624	22.960	208.97311	-4318.364
-156.638	22.936	212.01822	-4325.7705
-156.651	22.911	215.06332	-4323.567
-156.665	22.887	218.10843	-4330.4
-156.679	22.863	221.15353	-4362.313
-156.693	22.839	224.19864	-4383.7173
-156.707	22.815	227.24374	-4393.206
-156.721	22.790	230.28885	-4417.867
-156.735	22.766	233.33395	-4441.291
-156.749	22.742	236.37906	-4459.7144
-156.763	22.718	239.42416	-4465.8047
-156.777	22.694	242.46927	-4495.3105
-156.790	22.669	245.51437	-4515.5093
-156.804	22.645	248.55948	-4525.6465
-156.818	22.621	251.60458	-4540.1147
-156.832	22.597	254.64969	-4563.825
-156.846	22.572	257.6948	-4578.9067
-156.860	22.548	260.7399	-4616.136
-156.874	22.524	263.785	-4641.6934
-156.887	22.500	266.8301	-4669.602
-156.901	22.476	269.8752	-4648.34
-156.915	22.451	272.92032	-4571.854
-156.929	22.427	275.96542	-4655.2656
-156.943	22.403	279.01053	-4551.6187
-156.957	22.379	282.05563	-4297.6636
-156.970	22.354	285.10074	-4277.668
-156.984	22.330	288.14584	-4103.022
-156.998	22.306	291.19095	-4596.0303
-157.012	22.282	294.23605	-4034.8137
-157.026	22.258	297.28116	-4558.1484
-157.039	22.233	300.32626	-4622.4604
-157.053	22.209	303.37137	-4211.1133
-157.067	22.185	306.41647	-4435.8564
-157.081	22.161	309.46158	-4487.8706
-157.095	22.136	312.50668	-3890.285
-157.108	22.112	315.5518	-3229.1057
-157.122	22.088	318.5969	-3013.0706
-157.136	22.064	321.642	-2968.9724
-157.150	22.039	324.6871	-3597.2432
-157.163	22.015	327.7322	-4147.1177
-157.177	21.991	330.7773	-4105.4907
-157.191	21.967	333.82242	-3891.5732
-157.205	21.943	336.86752	-3970.0598
-157.218	21.918	339.91263	-4027.8564
-157.232	21.894	342.95773	-3882.5403
-157.246	21.870	346.00284	-4365.196
-157.259	21.846	349.04794	-4393.359
-157.273	21.821	352.09305	-4411.506
-157.287	21.797	355.13815	-4142.146
-157.301	21.773	358.18326	-3583.9338
-157.314	21.749	361.22836	-3483.9539
-157.328	21.724	364.27347	-3846.2908
-157.342	21.700	367.31857	-3421.8938
-157.355	21.676	370.36368	-3031.8813
-157.369	21.651	373.40878	-3095.2344
-157.383	21.627	376.4539	-3057.3462
-157.396	21.603	379.499	-3010.2783
-157.410	21.579	382.5441	-2923.3965
-157.424	21.554	385.5892	-2882.3264
-157.437	21.530	388.6343	-2716.0767
-157.451	21.506	391.6794	-2023.6843
-157.465	21.482	394.72452	-972.93396
-157.478	21.457	397.76962	-769.64307
-157.492	21.433	400.81473	-777.151
-157.505	21.409	403.85983	-753.6438
-157.519	21.385	406.90494	-709.90344
-157.533	21.360	409.95004	-651.89026
-157.546	21.336	412.99515	-608.6262
-157.560	21.312	416.04025	-258.80255
-157.574	21.288	419.08536	-105.180435
-157.587	21.263	422.13046	-180.27466
-157.601	21.239	425.17557	-536.3779
-157.614	21.215	428.22067	-670.58435
-157.628	21.190	431.26578	-670.5674
-157.642	21.166	434.31088	-665.9137
-157.655	21.142	437.356	-632.9507
-157.669	21.118	440.4011	-588.76495
-157.682	21.093	443.4462	-532.2786
-157.696	21.069	446.4913	-482.7494
-157.709	21.045	449.5364	-414.7528
-157.723	21.020	452.5815	-329.3784
-157.737	20.996	455.62662	-296.35803
-157.750	20.972	458.67172	-337.21933
-157.764	20.948	461.71683	-319.53995
-157.777	20.923	464.76193	-423.2707
